Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Алексійчук,Олена,Іванівна,Жіноча,1989-06-24,Хімік,село Дніпро,"узвіз Мирна, буд. 892 кв. 02, Вознесенівка, 07609",+380 89 818-59-03,liliia06@example.com
Даценко,Амалія,Андріївна,Жіноча,1992-03-19,Агроном,хутір Березівка,"площа Квітковий, буд. 81, Сарни, 73590",336-03-39,anton62@example.org
Андрієвич,Світлана,Сергіївна,Жіноча,1940-09-11,Вчитель,хутір Армянськ,"шосе Нафтовиків 2-й, буд. 997 кв. 965, Роздільна, 25607",596-95-89,ilienkoiefrem@example.com
Петлюра,Сніжана,Олександрівна,Жіноча,1988-04-06,Реабілітолог,селище Надвірна,"проспект Шкодова гора, буд. 5, Бровари, 44599",183 35 49,okseniia25@example.net
Вакарчук,Мілена,Володимирівна,Жіноча,1984-01-22,Слідчий,селище Бахчисарай,"набережна Сумська, буд. 343 кв. 542, Остер, 65356",+380 26 763-13-96,aaronivasiuk@example.net
Цісик,Розалія,Іванівна,Жіноча,1950-02-05,Електрик,місто Красноперекопськ,"вулиця Чорноморський 1-й, буд. 050 кв. 828, Хуст, 95907",+380 16 605 97 15,adakhno@example.com
Терещук,Світлана,Павлівна,Жіноча,1998-10-20,Фотограф,хутір Берестин,"площа Гена Іоганна, буд. 4, Славута, 56331",+380 94 608-46-40,lkashchenko@example.org
Андріїшина,Наталія,Юріївна,Жіноча,1949-04-26,Музичний редактор,місто Голубівка,"проспект Всеволода Змієнка, буд. 368, Південне, 41327",479 60 33,dhodunok@example.net
Корж,Тетяна,Іванівна,Жіноча,1969-04-26,Економіст,хутір Федорівка,"площа Лінія 47-ма, буд. 1, Кременець, 16730",151-80-00,arsenorobets@example.com
Сімашкевич,Мілена,Іванівна,Жіноча,1964-04-04,Психолог,місто Скалат,"проспект 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 161, Подільськ, 91284",032 492 19 01,sviatoslava79@example.org
Комар,Христина,Олександрівна,Жіноча,1949-11-25,Музикант,хутір Ямпіль,"провулок Кінна, буд. 943, Світловодськ, 11184",+380 11 461-76-55,heorhii85@example.org
Затула,Марія,Павлівна,Жіноча,1985-02-01,Маркетолог,місто Джанкой,"парк Степана Олійника узвіз, буд. 53 кв. 160, Красногорівка, 02940",+380 34 306 63 66,antondzyndra@example.org
Засуха,Юстина,Анатоліївна,Жіноча,1982-05-24,Громадський діяч,місто Зеленодольськ,"шосе Локомотивна, буд. 8, Сарни, 30803",+380 (89) 372-86-40,maksymievtushok@example.net
Худяк,Сніжана,Олександрівна,Жіноча,1966-09-26,Державний службовець,селище Ясинувата,"сквер Кредитний, буд. 4, Рогатин, 91105",520-27-73,ulesyk@example.com
Юрченко,Світлана,Анатоліївна,Жіноча,1951-12-03,Стропальник,хутір Татарбунари,"сквер Віри Інбер, буд. 752 кв. 37, Теребовля, 61442",885-83-54,yrudyk@example.com
Сацюк,Марина,Юріївна,Жіноча,1985-09-09,Складальник,село Гайсин,"набережна Хлібна гавань, буд. 13, Почаїв, 54981",+380 (58) 269-59-91,mariana65@example.com
Іщенко,Володимира,Петрівна,Жіноча,1981-05-20,Ґрунтознавець,місто Генічеськ,"провулок Художника Федорова, буд. 253 кв. 12, Мирноград, 91737",+380 61 188-02-13,iustynaiefymenko@example.net
Гаврилишин,Златослава,Олександрівна,Жіноча,1962-09-10,Кінокритик,селище Ланівці,"площа Лінія 27-ма, буд. 366, Луганськ, 68442",+380 76 122 55 03,orynaisaienko@example.org
Вернидуб,Надія,Михайлівна,Жіноча,1955-04-20,Гицель,село Жашків,"провулок Отрадна, буд. 1, Красноперекопськ, 36083",448 33 96,shevchenkoalbina@example.net
Гаврилів,Алла,Андріївна,Жіноча,1973-09-09,Флорист,село Середина-Буда,"узвіз Станційна 2-га, буд. 4, Вуглегірськ, 65047",+380 97 217-90-15,priska43@example.net
Ґжицький,Роксолана,Сергіївна,Жіноча,1946-07-26,Детектив,місто Полтава,"провулок Лігінська, буд. 7, Переяслав, 05189",732-89-56,lukianstets@example.org
Андрощук,Любов,Павлівна,Жіноча,1952-09-28,Різноробочий,хутір Олександрія,"площа Новосельского, буд. 895, Євпаторія, 65474",+380 55 410 34 09,ievhen10@example.com
Сірченко,Ліза,Михайлівна,Жіноча,1992-08-23,Геолог,село Канів,"сквер Халайджогло, буд. 1, Фастів, 51871",+380 95 557-74-65,roksolana02@example.net
Жученко,Богданна,Олександрівна,Жіноча,1987-05-24,Історик,село Боярка,"парк Володимира Вінниченка, буд. 8, Олевськ, 49726",+380 (23) 764-41-39,lytvynenkoartem@example.com
Ірванець,Ганна,Юріївна,Жіноча,1949-07-17,Ювелір,місто Рені,"провулок Регенсбург, буд. 3 кв. 8, Сорокине, 07566",043-53-22,halynasimashkevych@example.org
Кащенко,Любов,Анатоліївна,Жіноча,1995-11-15,Дизайнер,селище Бунге,"сквер Залізнична, буд. 91 кв. 14, Чигирин, 19541",525 63 40,parmenovsiienko@example.net
Назаренко,Михайлина,Андріївна,Жіноча,1991-02-15,Історик,село Львів,"шосе Ольгіївський узвіз, буд. 80 кв. 39, Чистякове, 85342",+380 (47) 824-63-80,shutkorostyslav@example.net
Ґерус,Розалія,Олександрівна,Жіноча,1994-06-30,Машиніст,місто Підгородне,"узвіз Тепла, буд. 095 кв. 4, Новоград-Волинський, 97846",141-41-94,volodymyr94@example.org
Гузь,Галина,Іванівна,Жіноча,1950-11-14,Електромонтажник,село Свалява,"проспект Бокаріуса, буд. 82, Рені, 74458",+380 21 875 69 72,liubovartemenko@example.net
Джус,Оксенія,Володимирівна,Жіноча,1945-05-06,Локсмайстер,місто Білогірськ,"парк Кузнечна, буд. 30, Зимогір'я, 33084",+380 44 329-55-46,bdubas@example.com
Шаповал,Розалія,Олександрівна,Жіноча,1950-12-12,Хімік,хутір Андрушівка,"вулиця Новоберегова, буд. 155, Корсунь-Шевченківський, 77370",+380 85 705-68-44,viktorshchyrytsia@example.net
Дацюк,Лілія,Юріївна,Жіноча,1995-02-25,Візажист,місто Камінь-Каширський,"парк Академіка Філатова, буд. 685, Берестин, 77346",054 182 32 30,pbabiichuk@example.net
Алексійчук,Ада,Петрівна,Жіноча,1950-12-19,Скульптор,селище Пологи,"сквер Павла Кравцова, буд. 0 кв. 446, Зоринськ, 19898",+380 82 333-38-91,myron70@example.org
Тарасенко,Галина,Юріївна,Жіноча,2003-07-28,Мовознавець,місто Гнівань,"набережна Колекційна, буд. 2, Отаманівка, 87114",+380 90 448 64 48,zshylo@example.org
Балабан,Юстина,Іванівна,Жіноча,1951-08-10,Дерун,селище Кальміуське,"шосе Гена Іоганна, буд. 38 кв. 2, Богодухів, 58417",386-13-99,irenatkach@example.com
Ватаманюк,Лариса,Петрівна,Жіноча,1993-07-19,Модельєр,село Тернівка,"проспект Травневий 1-й, буд. 363 кв. 534, Баранівка, 97231",+380 (33) 479-16-89,ntelychenko@example.com
Дробʼязко,Ганна,Андріївна,Жіноча,1990-04-21,Адвокат,місто Гайсин,"провулок Балтський 4-й, буд. 002 кв. 5, Суходільськ, 52375",052 175 46 28,romanlutsenko@example.net
Охримович,Варвара,Петрівна,Жіноча,2001-08-17,Перекладач,село Часів Яр,"узвіз Газовий, буд. 55, Знам'янка, 08654",048 441 61 37,sfilipenko@example.net
Лубенець,Клавдія,Сергіївна,Жіноча,1960-11-05,Державний службовець,місто Костянтинівка,"площа Чигиринська, буд. 10 кв. 60, Переяслав, 44160",+380 59 509-42-48,petropryimak@example.org
Валенко,Михайлина,Юріївна,Жіноча,1968-10-08,Електромонтер,хутір Трускавець,"шосе 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 18 кв. 513, Ржищів, 16222",+380 95 147 63 59,terezasalii@example.com
Симоненко,Вікторія,Андріївна,Жіноча,1982-07-04,Дерун,селище Роздільна,"узвіз Литавровий, буд. 0, Гнівань, 71645",+380 (84) 308-41-18,habelkozakhar@example.org
Лазаренко,Сніжана,Сергіївна,Жіноча,1979-06-11,Біолог,селище Пустомити,"узвіз Пересипська 9-та, буд. 4, Таврійськ, 67003",+380 16 080 39 06,iukhymenkoartem@example.com
Бабійчук,Ірена,Павлівна,Жіноча,1945-03-10,Ювелір,селище Вільногірськ,"парк Безіменний, буд. 45 кв. 3, Кальміуське, 68274",+380 (95) 531-45-26,serhiifranchuk@example.com
Ващенко-Захарченко,Віра,Анатоліївна,Жіноча,1954-05-21,Професор,село Калуш,"шосе Ламаний, буд. 730 кв. 5, Ічня, 61010",+380 18 081-87-27,artymyshynapanteleimon@example.com
Затула,Людмила,Анатоліївна,Жіноча,1985-12-02,Математик,місто Мелітополь,"вулиця Платанова, буд. 86, Кропивницький, 19154",+380 47 711-99-41,shyianorkhyp@example.com
Назаренко,Наталія,Павлівна,Жіноча,1995-04-06,Музикант,селище Ананьїв,"шосе Баркасний, буд. 5, Жмеринка, 04062",540 18 65,aorobets@example.com
Алексеєнко,Ольга,Анатоліївна,Жіноча,2007-09-29,Лікар,хутір Ровеньки,"набережна Балтський 3-й, буд. 932, Торецьк, 75426",247 97 09,parmen85@example.net
Демʼяненко,Віолетта,Володимирівна,Жіноча,2008-02-19,Музикант,хутір Саки,"площа Шебелінський, буд. 67 кв. 251, Зборів, 25476",132-66-37,sirkopetro@example.net
Василашко,Галина,Сергіївна,Жіноча,2003-08-12,Випробувач,хутір Яремче,"узвіз Дальницька, буд. 8 кв. 4, Сватове, 32161",+380 00 309-31-74,marynamedvedenko@example.org
Бакуменко,Віолетта,Сергіївна,Жіноча,1987-03-31,Локсмайстер,селище Часів Яр,"площа Лазурний 3-й, буд. 013, Нове Давидково, 64169",095 865-55-82,edanchenko@example.net
Дубина,Наталія,Андріївна,Жіноча,1954-04-04,Програміст,місто Дунаївці,"проспект Ольвійська, буд. 8, Нововолинськ, 59255",245-71-08,shutkodavyd@example.com
Лесик,Златослава,Анатоліївна,Жіноча,1941-06-17,Кінокритик,хутір Харків,"вулиця Бузкова, буд. 8 кв. 8, Кам'янське, 49137",019 083-38-24,fastenkoanzhela@example.net
Туркало,Мілена,Іванівна,Жіноча,1964-05-04,Локсмайстер,село Снігурівка,"шосе Приморський, буд. 531, Хмільник, 03047",003 139 69 54,volodymyramishchenko@example.org
Бевзенко,Еріка,Юріївна,Жіноча,1956-09-29,Електромонтажник,хутір Саки,"площа Моторний 2-й, буд. 9, Бершадь, 92517",+380 49 995-57-10,spas11@example.com
Москаль,Василина,Олександрівна,Жіноча,2000-06-17,Кінолог,селище Брянка,"шосе Промисловий, буд. 6, Погребище, 09498",078 113 83 91,qpetrenko@example.net
Сірко,Едита,Юріївна,Жіноча,1982-01-13,Електромонтажник,хутір Коростень,"парк Венгера, буд. 58, Немирів, 56020",+380 23 133 28 77,demyd43@example.com
Хорішко,Маруся,Петрівна,Жіноча,1966-11-07,Астроном,хутір Українка,"шосе Балтський 1-й, буд. 4 кв. 4, Чернігів, 16716",+380 12 673 62 96,anzhelaiukhymenko@example.org
Зінкевич,Вікторія,Петрівна,Жіноча,1989-05-29,Антрополог,хутір Городище,"площа Пересипська 9-та, буд. 9, Довжанськ, 62770",063 984-88-32,fzasiadko@example.org
Смик,Роксолана,Олександрівна,Жіноча,1962-06-27,Клавішник,місто Яворів,"узвіз Геранієва, буд. 1 кв. 71, Хотин, 55805",+380 97 528-45-74,jbhydenko@example.com
Шелест,Вікторія,Михайлівна,Жіноча,1999-03-28,Програміст,місто Ялта,"вулиця Сергія Коновалова, буд. 22 кв. 071, Мелітополь, 41397",589 36 18,iakiv87@example.org
Ящук,Богданна,Володимирівна,Жіноча,2006-01-11,М'ясник,хутір Отаманівка,"сквер Князя Ярослава Мудрого, буд. 208, Городня, 49367",+380 78 192 09 11,makardatsiuk@example.org
Безбородько,Світлана,Юріївна,Жіноча,1988-01-05,Єгер,селище Часів Яр,"площа 21-й км Старокиївської дороги, буд. 214, Старобільськ, 97671",+380 30 267-90-77,okhrim24@example.com
Авдєєнко,Ірена,Іванівна,Жіноча,1940-01-02,Архітектор,місто Фастів,"вулиця 1-й Академічний тупик, буд. 3, Ровеньки, 42740",+380 48 412 29 29,avrelii89@example.com
Прокопович,Надія,Іванівна,Жіноча,1944-11-11,Економіст,село Чоп,"узвіз Китобійний 2-й, буд. 2 кв. 227, Чуднів, 44165",+380 (89) 229-03-25,bholoborodko@example.com
Алексійчук,Оксана,Юріївна,Жіноча,1985-12-06,Географ,село Гадяч,"провулок Кавунова, буд. 9, Черкаси, 48935",+380 35 421-11-10,havrylenkohanna@example.com
Фастенко,Маруся,Юріївна,Жіноча,1940-03-07,Юрист,місто Стебник,"вулиця Зелений, буд. 60, Виноградів, 71300",730 68 34,levko35@example.net
Ажажа,Ірина,Володимирівна,Жіноча,2004-12-16,Паблік рилейшнз,місто Ворожба,"шосе Бугаївська, буд. 73, Нова Одеса, 01240",098 771 07 26,tskyba@example.net
Колодуб,Наталія,Олександрівна,Жіноча,1969-02-18,Водій,хутір Рівне,"провулок Кладовищенська, буд. 8 кв. 96, Жидачів, 65357",085 509 04 64,dderehus@example.org
Гаврюшенко,Розалія,Петрівна,Жіноча,2003-05-15,Ювелір,хутір Красногорівка,"парк Сосюри, буд. 97 кв. 046, Глиняни, 30970",+380 58 714-27-27,demianenkosolomon@example.com
Барабаш,Володимира,Андріївна,Жіноча,1992-07-07,Редактор,хутір Семенівка,"сквер Карантинний узвіз, буд. 36 кв. 36, Полтава, 82257",+380 99 813 48 75,petro34@example.com
Хоменко,Сніжана,Володимирівна,Жіноча,1956-07-21,Музикант,хутір Горішні Плавні,"площа Віталія Блажка, буд. 5 кв. 493, Отаманівка, 44918",015 250-44-47,danylchukvasyl@example.net
Туркало,Анжела,Олександрівна,Жіноча,1981-07-15,Сценарист,місто Покровськ,"набережна Щіпний, буд. 606 кв. 4, Гола Пристань, 25386",+380 29 855 53 65,sviatoslavabaranets@example.com
Саєнко,Ірена,Павлівна,Жіноча,1946-12-16,Геофізик,місто Українськ,"вулиця Венгера, буд. 12 кв. 440, Алушта, 63236",036 631-64-03,hskoryk@example.net
Шеремет,Орися,Андріївна,Жіноча,1974-12-11,Слідчий,село Апостолове,"провулок Лїнія 1-ша, буд. 672, Алушта, 47495",+380 74 159-47-77,imamchur@example.com
Литвин,Віра,Анатоліївна,Жіноча,2005-12-09,Правник,місто Енергодар,"шосе Іподромний, буд. 79, Борщів, 05910",015 409-66-87,sviatoslavavysochan@example.net
Терещук,Дарина,Андріївна,Жіноча,1959-05-24,Машиніст,село Підгайці,"провулок Монастирський, буд. 60 кв. 8, Знам'янка, 17143",+380 15 245 98 67,andrusenkovarfolomii@example.com
Зайченко,Ліза,Володимирівна,Жіноча,1992-04-03,Каскадер,селище Чигирин,"шосе Французький, буд. 857 кв. 119, Яремче, 77494",038 020-31-65,danylchukieva@example.com
Авраменко,Златослава,Анатоліївна,Жіноча,1949-09-16,Антрополог,місто Болград,"набережна Менделе Сфоріма, буд. 55 кв. 2, Рожище, 17357",023 012 92 21,ldotsenko@example.com
Батюк,Марʼяна,Юріївна,Жіноча,1953-05-26,Паралегал,місто Вилкове,"площа Житомирська, буд. 58 кв. 90, Бахмут, 82788",414 38 11,vlokhiaroslava@example.net
Оберемко,Анастасія,Іванівна,Жіноча,1967-09-30,Акушер,місто Радивилів,"набережна Ювілейний 1-й, буд. 4 кв. 979, Кальміуське, 56780",+380 06 688-07-56,lizazhadan@example.org
Хмара,Софія,Юріївна,Жіноча,1978-02-06,Палеонтолог,місто Городище,"сквер Болградська, буд. 7 кв. 096, Роздільна, 19918",027-30-79,iatseniukiaroslav@example.org
Дубас,Тереза,Михайлівна,Жіноча,1974-06-08,Мінералог,місто Нововолинськ,"сквер Кришталева, буд. 54 кв. 65, Новомиргород, 26972",+380 71 004 20 35,cchmil@example.org
Теліженко,Данна,Сергіївна,Жіноча,1952-10-09,Сантехнік,селище Запоріжжя,"набережна Аеропортівський 3-й, буд. 0 кв. 72, Кременець, 42628",+380 (97) 724-05-27,ruslan04@example.org
Колесниченко,Марія,Анатоліївна,Жіноча,1941-09-03,Юрист,хутір Селидове,"парк Художника Федорова, буд. 2, Звенигородка, 73430",056 299-88-70,klymentdubenko@example.net
Височан,Одарка,Петрівна,Жіноча,1974-12-07,Єгер,селище Вижниця,"площа Виноградний тупик, буд. 58, Умань, 91578",+380 44 768 56 45,teslenkoirena@example.net
Жайворон,Святослава,Олександрівна,Жіноча,2008-11-06,Лікар,місто Бахмач,"набережна Хутірська, буд. 63 кв. 71, Сквира, 79524",+380 36 691 20 95,zorian22@example.org
Іщак,Златослава,Юріївна,Жіноча,1983-04-14,Мінералог,місто Сокиряни,"площа Андрія Сови, буд. 6, Свалява, 37449",+380 88 580-56-40,leopold83@example.org
Воблий,Валентина,Андріївна,Жіноча,2002-10-12,Акушер,селище Золоте,"набережна Дюківська, буд. 50, Чугуїв, 04548",+380 96 892-72-32,wkhorishko@example.com
Євтушенко,Ада,Іванівна,Жіноча,1992-11-02,Інженер,хутір Ялта,"узвіз Луценка Івана, буд. 589, Гребінка, 11236",+380 52 654-66-16,uradchenko@example.com
Яценко,Оксенія,Сергіївна,Жіноча,1949-08-26,Музичний редактор,селище Решетилівка,"сквер Шкільний, буд. 6, Вознесенськ, 44527",057 746 80 30,hieshchenko@example.org
Тригуб,Богуслава,Іванівна,Жіноча,1943-05-09,Перекладач,місто Новий Калинів,"сквер Соборна, буд. 0, Великі Мости, 98596",+380 76 440 36 27,eduard34@example.org
Гузій,Ліза,Володимирівна,Жіноча,1958-12-19,Парфюмер,місто Вільногірськ,"набережна Рівний, буд. 88, Лозова, 80771",057 739-65-10,parasiukvitalii@example.com
Їжакевич,Розалія,Михайлівна,Жіноча,1948-06-14,Стиліст,село Боярка,"площа Дружний, буд. 9, Березне, 41345",098 924-34-04,aaron26@example.org
Бабенко,Лілія,Андріївна,Жіноча,1990-09-14,Бібліотекар,хутір Тараща,"парк Лінія 50-та, буд. 79, Монастирище, 67703",030 573-89-02,zlatoslava31@example.org
Жученко,Сніжана,Павлівна,Жіноча,1977-06-04,Історик,село Кам'янка (Черкаська область),"парк Канатний, буд. 97 кв. 4, Шаргород, 99955",+380 (25) 245-38-53,oleksandr72@example.org
Шелест,Одарка,Володимирівна,Жіноча,1965-12-10,Ді-джей,хутір Кодима,"проспект Павла Чубинського, буд. 53, Корець, 65172",772 82 85,iosyporobets@example.org
Черінько,Єлисавета,Володимирівна,Жіноча,1968-03-11,Флорист,село Тлумач,"вулиця Керченський 1-й, буд. 04 кв. 4, Українка, 93128",+380 38 928 08 25,snesterenko@example.net
Павлик,Оксана,Сергіївна,Жіноча,1974-11-18,Прокурор,хутір Могилів-Подільський,"узвіз Проектна 1-ша, буд. 3, Багачеве, 46497",073 784 91 51,tymofiikorzh@example.org
Бакуменко,Алла,Юріївна,Жіноча,1951-04-27,Ювелір,місто Долинська,"площа Селищна, буд. 322 кв. 111, Глиняни, 44289",+380 60 518-51-81,dannaderhach@example.org
Макаренко,Ярослава,Сергіївна,Жіноча,1989-08-06,Епідеміолог,хутір Севастополь,"набережна Дур'янівський, буд. 0 кв. 1, Чигирин, 25718",+380 84 780-32-23,shchyrytsiavarfolomii@example.com
Власюк,Єлисавета,Михайлівна,Жіноча,1956-03-06,Кінолог,хутір Вільнянськ,"набережна Петра Лещенка, буд. 6, Горохів, 93402",130 82 31,oshmorhun@example.com
Вернидуб,Клавдія,Володимирівна,Жіноча,1958-05-02,Драматург,хутір Збараж,"проспект Сливова, буд. 440 кв. 8, Вашківці, 82793",+380 95 532-63-63,lupiiihor@example.net
Деркач,Надія,Володимирівна,Жіноча,1948-04-20,Стоматолог,місто Гайсин,"парк Шкільний аеродром, буд. 057, Валки, 68943",+380 91 792-93-70,orysiavdovychenko@example.net
Василечко,Вікторія,Олександрівна,Жіноча,1994-05-02,Зоолог,хутір Костянтинівка,"сквер Лиманчик 2-й Лінія 9-та, буд. 797 кв. 0, Устилуг, 01918",074 770 07 93,solomonsahal@example.net
Медведенко,Софія,Петрівна,Жіноча,2004-05-17,Модельєр,місто Білгород-Дністровський,"провулок Тракторна, буд. 98, Новоград-Волинський, 08036",250-08-55,anastasiialukash@example.net
Каденюк,Оксана,Юріївна,Жіноча,2005-09-07,Фармацевт,село Нетішин,"площа Семена Яхненка, буд. 38, Березівка, 80634",085 381-74-63,ostapsatsiuk@example.com
Ірванець,Оксана,Іванівна,Жіноча,1969-04-02,Слідчий,місто Городок,"набережна Олександра Юрженка, буд. 1, Сміла, 03215",+380 35 562 88 53,lukianiakovenko@example.org
Затовканюк,Маруся,Анатоліївна,Жіноча,1977-11-12,Гірник,хутір Баранівка,"набережна Каретний, буд. 239, Андрушівка, 83458",+380 (89) 295-72-62,shabliiboryslav@example.com
Бандера,Оксана,Андріївна,Жіноча,1984-04-07,Ді-джей,хутір Чугуїв,"провулок Дмитріївська, буд. 85 кв. 0, Покров, 68628",062 493-16-21,romanetsvenedykt@example.org
Шиян,Марʼяна,Андріївна,Жіноча,1956-01-20,Психолог,хутір Боково-Хрустальне,"набережна Осипова, буд. 6, Радивилів, 33610",000 345 75 32,maksym59@example.com
Заєць,Едита,Сергіївна,Жіноча,1982-10-28,Бізнесмен,село Ланівці,"провулок 6-та Лінія Марії Демченко, буд. 6, Батурин, 05072",982 44 09,itkach@example.net
Кармалюк,Ада,Михайлівна,Жіноча,1941-03-24,Намотувальник,місто Глухів,"проспект Івана Луценка, буд. 0 кв. 792, Решетилівка, 28112",000 45 53,bilienko@example.org
Кириленко,Любов,Петрівна,Жіноча,1951-08-20,Каскадер,село Липовець,"провулок Водопровідний 2-й, буд. 76, Джанкой, 01996",+380 (21) 727-74-40,bohuslavzasenko@example.org
Гузь,Роксолана,Олександрівна,Жіноча,1965-02-08,Зоолог,хутір Сватове,"вулиця Сінна, буд. 474 кв. 1, Святогірськ, 12058",660-96-98,mykytadakhno@example.net
Власюк,Аліна,Юріївна,Жіноча,1999-06-11,Психолог,хутір Новий Калинів,"шосе Князівська, буд. 193 кв. 79, Новоград-Волинський, 09976",192-23-29,kyryloartymyshyna@example.com
Якимчук,Марія,Петрівна,Жіноча,1941-02-16,Гицель,місто Красноперекопськ,"вулиця Десятого квітня, буд. 66 кв. 7, Почаїв, 43852",+380 (85) 073-43-62,zgerus@example.org
Матвієнко,Богуслава,Михайлівна,Жіноча,1959-09-30,Письменник,хутір Олександрівськ,"вулиця Саксаганського, буд. 03 кв. 2, Молочанськ, 65756",+380 (57) 485-99-81,fmakarenko@example.com
Затовканюк,Валентина,Анатоліївна,Жіноча,1958-10-24,Фізик,хутір Іллінці,"провулок Промислова, буд. 2, Пустомити, 69899",248 13 85,zaietsostap@example.org
Міщенко,Надія,Павлівна,Жіноча,1988-06-13,Кіноактор,село Гайворон,"проспект Петра Лещенка, буд. 253, Перещепине, 97708",466-71-85,zlatoslava23@example.org
Лесик,Богданна,Сергіївна,Жіноча,1969-12-29,Живописець,місто Кролевець,"вулиця Пресича Олександра, буд. 774, Нововолинськ, 23503",981 80 32,iakiv79@example.net
Панчук,Камілла,Олександрівна,Жіноча,1975-11-12,Головний меркшейдер,місто Лиман,"шосе Лютеранський, буд. 1, Чернівці, 05790",+380 44 808-89-16,smykliliia@example.com
Цісик,Володимира,Анатоліївна,Жіноча,1977-07-09,Фотограф,місто Стебник,"провулок Місячна, буд. 2, Ірміно, 02173",485-20-13,arsenoberemko@example.net
Рябченко,Аліна,Михайлівна,Жіноча,1989-11-01,Математик,хутір Токмак,"вулиця Панченка, буд. 12, Мелітополь, 16756",061 266 51 55,myroslavholyk@example.net
Ващенко-Захарченко,Сніжана,Павлівна,Жіноча,1993-06-27,Бізнесмен,селище Жидачів,"вулиця Олександра Кошиця, буд. 02, Мала Виска, 57954",066 739 27 86,nataliia82@example.net
Ґерета,Світлана,Олександрівна,Жіноча,2004-06-19,Музикант,село Маріуполь,"шосе Скляний 3-й, буд. 96, Деражня, 18475",589-82-23,hskyrda@example.org
Єсипенко,Віолетта,Сергіївна,Жіноча,1979-04-10,Акушер,хутір Лебедин,"шосе Чубаївський, буд. 711 кв. 818, Старий Крим, 17241",+380 16 891-57-41,semen68@example.org
Цушко,Світлана,Олександрівна,Жіноча,1979-05-20,Програміст,село Перевальськ,"шосе Місячний, буд. 23, Благовіщенське, 79713",331-33-81,kharchenkomykolai@example.net
Скиба,Віолетта,Володимирівна,Жіноча,1967-08-13,Прокурор,село Борислав,"узвіз Морехідний, буд. 99, Шепетівка, 93950",+380 (61) 910-59-18,albinaprykhodko@example.org
Арсенич,Людмила,Іванівна,Жіноча,2005-04-19,Пекар,місто Мар'їнка,"провулок Бандурний, буд. 504 кв. 004, Харків, 94237",085-52-01,lukian97@example.org
Засядько,Сніжана,Анатоліївна,Жіноча,1993-06-19,Гінеколог,хутір Гайворон,"сквер Левкоєва, буд. 6 кв. 0, Арциз, 98017",+380 39 923-21-20,klavdiiaievdokymenko@example.net
Верхола,Златослава,Михайлівна,Жіноча,1942-05-21,Гірничий інженер,селище Сторожинець,"узвіз Слави, буд. 94, Чорнобиль, 60412",+380 (77) 774-58-74,feofan79@example.com
Рубець,Віолетта,Сергіївна,Жіноча,1976-07-06,Кінорежисер,хутір Знам'янка,"площа Олександра Ройтбурда, буд. 67 кв. 3, Миколаїв, 76496",+380 (03) 210-01-57,usyksvitlana@example.org
Франчук,Соломія,Олександрівна,Жіноча,1995-06-18,Реабілітолог,село Ладижин,"узвіз Будівельна, буд. 9, Косів, 58116",+380 77 949-01-88,mykytashakhrai@example.com
Заєць,Сніжана,Анатоліївна,Жіноча,1942-05-24,Художник,село Євпаторія,"проспект Приморський, буд. 2 кв. 85, Фастів, 47348",068 315-10-95,chavryshkevych@example.org
Чалий,Марта,Іванівна,Жіноча,1995-08-02,Професор,місто Пирятин,"парк Розкидайлівська, буд. 5, Старий Крим, 41764",014 084-98-03,arsen01@example.com
Захаренко,Едита,Іванівна,Жіноча,1964-05-23,Правник,хутір Калинівка,"провулок Кастуся Калиновського, буд. 7 кв. 07, Корсунь-Шевченківський, 78343",523 86 66,karpenkotetiana@example.org
Асаула,Галина,Юріївна,Жіноча,1986-01-14,Гірничий інженер,хутір Скалат,"провулок Майстерний, буд. 39 кв. 12, Здолбунів, 93009",309 93 36,ieromenkoarsen@example.com
Щербак,Аніта,Михайлівна,Жіноча,1940-09-07,Бібліотекар,селище Сарни,"провулок Тараса Кузьміна, буд. 36, Чортків, 51027",043 765-22-11,eaverchenko@example.com
Баранник,Аліна,Юріївна,Жіноча,1991-08-20,Патологоанатом,село Радомишль,"проспект Палубна, буд. 4, Амвросіївка, 44974",+380 61 329-36-33,zasiadkodan@example.net
Бабко,Аліна,Павлівна,Жіноча,2002-03-04,Парфюмер,селище Рахів,"проспект Восьмого березня 4-й, буд. 454 кв. 866, Охтирка, 92619",092 345-36-57,sofiiaandriievych@example.org
Демʼянчук,Софія,Іванівна,Жіноча,1994-09-06,Ювелір,місто Мала Виска,"сквер Болгарська, буд. 256 кв. 55, Ірпінь, 11127",+380 39 692 66 65,tsushkonazar@example.net
Аверченко,Еріка,Петрівна,Жіноча,1985-05-12,Актор,місто Петрово-Красносілля,"шосе Гвоздична, буд. 0, Вінниця, 46173",476 44 77,parmen94@example.org
Акименко,Тереза,Михайлівна,Жіноча,1985-04-17,Піаніст,хутір Суми,"парк Економічний, буд. 01, Василівка, 20782",+380 64 032-65-12,marianaeibozhenko@example.net
Давимука,Марта,Олександрівна,Жіноча,2001-03-13,Історик,село Андрушівка,"площа Госпітальний, буд. 8 кв. 33, Вараш, 85535",957-56-13,stefan38@example.org
